x,y,Action.UP,Action.DOWN,Action.RIGHT,Action.LEFT,Action.MAX
7,1,0,6.554941162642477,8.10196702035348,0,8
7,2,7.291770318318129,5.843808260471943,0,0,1
7,3,6.562593286486312,0,0,5.305451747280198,1
7,4,0,0,0,0,0
7,5,0,0.0,0,0.0,0.0
7,6,0.0,0.0,0,0,0.0
7,7,0.0,0.0,0,0,0.0
7,8,0.0,0.0,0,0,0.0
7,9,0.0,0,0,0,0.0
7,10,0,0,0,0,0
7,11,0,0,0.0,0.0,0.0
7,12,0,0,0,0,0
8,0,0,0,0,0,0
8,1,0,0,9.002185578170543,7.279500000564201,8
8,2,0,0,0,0,0
8,3,0,0,0,0,0
8,4,0,0,0,0,0
8,5,0,0,0,0,0
8,6,0,0,0,0,0
8,7,0,0,0,0,0
8,8,0,0,0,0,0
8,9,0,0,0,0,0
8,10,0,0,0,0,0
8,11,0,0,0.0,0.0,0.0
8,12,0,0,0,0,0
9,0,0,0,0,0,0
9,1,0,10.002428420189503,0,8.073100819032259,2
9,2,8.928557941071208,11.113809355766122,0,0,2
9,3,9.97274053007857,12.348677061962366,9.74534822369446,0,2
9,4,11.065702821677181,13.720752291069303,0,0,2
9,5,12.33289137019476,15.245280323410345,0,0,2
9,6,13.711417754337983,16.939200359344838,0,0,2
9,7,15.237887819139342,0,18.82133373260539,0,8
9,8,0,0,0,0,0
9,9,0,0,12.451963817917836,0,8
9,10,0,0,0,0,0
9,11,0,0,0,0.0,0.0
9,12,0,0,0,0,0
10,0,0,0,0,0,0
10,1,0,0,0,0,0
10,2,0,0,0,0,0
10,3,0,0,0.04968205267860657,11.072305965508944,4
10,4,0,0,0,0,0
10,5,0,0,0,0,0
10,6,0,0,0,0,0
10,7,0,0,20.91259303622823,16.899068113423017,8
10,8,0,0,0,0,0
10,9,0,0,25.804596286763452,3.3967703966166685,8
10,10,0,0,0,0,0
10,11,0,0,0,0,0
10,12,0,0,0,0,0
11,0,0,0,0,0,0
11,1,0,0.0,0,0,0.0
11,2,0.0,0.0,0,0,0.0
11,3,0.0,0.0,0,1.2731104454027484,4
11,4,0.0,0.0,0,0,0.0
11,5,0.0,0,0,0,0.0
11,6,0,0,0,0,0
11,7,0,23.236214484698053,0,18.734175207863352,2
11,8,20.894564717341847,25.818016094108962,0,0,2
11,9,23.197306607889818,28.686684549009975,0,23.127905832592077,2
11,10,25.643673185463072,31.874093943344434,0,0,2
11,11,2.082326603716053,0,0,0,1
11,12,0,0,0,0,0
12,0,0,0,0,0,0
12,1,0,0,0,0,0
12,2,0,0,0,0,0
12,3,0,0,0,0,0
12,4,0,0,0,0,0
12,5,0,0,0,0,0
12,6,0,0,0,0,0
12,7,0,0,0,0,0
12,8,0,0,0,0,0
12,9,0,0,0,0,0
12,10,0,0,0,0,0
12,11,0,0,0,0,0
12,12,0,0,0,0,0
